hotel_name,url,hotel_url,avg_rating,tags,total_positive,total_negative,total_neutral,total_reviews
Diamond Manor,https://www.booking.com/reviews/be/hotel/chimay-b-and-b.en-gb.html?label=gen173nr-1DCA0oFUIOY2hpbWF5LWItYW5kLWJIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Asq714cGwAIB0gIkM2I0MzMyNTAtMTc1OC00Y2IxLWFkOWQtYTljMWI0ZWU5YTM02AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/chimay-b-and-b.en-gb.html?label=gen173nr-1DCA0oFUIOY2hpbWF5LWItYW5kLWJIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4Asq714cGwAIB0gIkM2I0MzMyNTAtMTc1OC00Y2IxLWFkOWQtYTljMWI0ZWU5YTM02AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,8.8,Leisure trip~Superior Double Room~Stayed 1 night~Solo traveller~Double Room~Twin Room~People with friends~Stayed 3 nights~Stayed 2 nights~Couple~Submitted via mobile~Family with young children,9,0,5,14
Elite Haven,https://www.booking.com/reviews/be/hotel/en-aqualye.en-gb.html?label=gen173nr-1DCA0oFUIKZW4tYXF1YWx5ZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCkLvXhwbAAgHSAiRiODQxYjRkNy1jMTBmLTQ4ODMtYTQ1OS03NGE1Yzg4MzMxYTnYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/en-aqualye.en-gb.html?label=gen173nr-1DCA0oFUIKZW4tYXF1YWx5ZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCkLvXhwbAAgHSAiRiODQxYjRkNy1jMTBmLTQ4ODMtYTQ1OS03NGE1Yzg4MzMxYTnYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.0,Leisure trip~Stayed 1 night~Stayed 2 nights~Family with young children~Couple~Submitted via mobile~Double Room with Private Bathroom,2,0,1,3
Sunny Apartments,https://www.booking.com/reviews/be/hotel/quot-ter-ename-ndeg2-quot.en-gb.html?label=gen173nr-1DCA0oFUIZcXVvdC10ZXItZW5hbWUtbmRlZzItcXVvdEgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC8arXhwbAAgHSAiRkZTdkMjg2MS0xM2MwLTQ1ZTQtYWM2Yi03YTdhYjdiYTgzOTXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/quot-ter-ename-ndeg2-quot.en-gb.html?label=gen173nr-1DCA0oFUIZcXVvdC10ZXItZW5hbWUtbmRlZzItcXVvdEgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC8arXhwbAAgHSAiRkZTdkMjg2MS0xM2MwLTQ1ZTQtYWM2Yi03YTdhYjdiYTgzOTXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.3,Leisure trip~Holiday Home~People with friends~Group~Stayed 3 nights~Stayed 2 nights~Submitted via mobile,3,0,0,3
Diamond Apartments,https://www.booking.com/reviews/be/hotel/s-hertogenmolens.en-gb.html?label=gen173nr-1DCA0oFUIQcy1oZXJ0b2dlbm1vbGVuc0gzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC2rfXhwbAAgHSAiRkODM5ZmIzMS1mZjI4LTQ1YzgtOTIyMi04Y2Y1MWQxMGJkYzjYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/s-hertogenmolens.en-gb.html?label=gen173nr-1DCA0oFUIQcy1oZXJ0b2dlbm1vbGVuc0gzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC2rfXhwbAAgHSAiRkODM5ZmIzMS1mZjI4LTQ1YzgtOTIyMi04Y2Y1MWQxMGJkYzjYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,8.1,Stayed 4 nights~Leisure trip~Stayed 1 night~Solo traveller~Business trip~Double Room~Twin Room~Group~People with friends~Stayed 3 nights~Stayed 2 nights~Junior Suite~Couple~Stayed 5 nights~Submitted via mobile~Family with young children,14,0,9,23
Modern Villa,https://www.booking.com/reviews/be/hotel/39-t-eenvoud.en-gb.html?label=gen173nr-1DCA0oFUIMMzktdC1lZW52b3VkSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKPu9eHBsACAdICJGY2ZTU1MjRjLTc3N2ItNDg5YS1iNDc3LTBhZDZlMjIxZGRlMdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/39-t-eenvoud.en-gb.html?label=gen173nr-1DCA0oFUIMMzktdC1lZW52b3VkSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKPu9eHBsACAdICJGY2ZTU1MjRjLTc3N2ItNDg5YS1iNDc3LTBhZDZlMjIxZGRlMdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,8.9,Stayed 4 nights~Leisure trip~Stayed 2 nights~One-Bedroom Apartment~Submitted via mobile~Family with young children,2,0,0,2
Elite Manor,https://www.booking.com/reviews/be/hotel/het-gulpdal-de-voerstreek.en-gb.html?label=gen173nr-1DCA0oFUIZaGV0LWd1bHBkYWwtZGUtdm9lcnN0cmVla0gzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCuLLXhwbAAgHSAiRmNmQzM2Y0YS1iYmMzLTRjNGMtYWJjYS0zNzY1ZTAwN2Q5OGTYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/het-gulpdal-de-voerstreek.en-gb.html?label=gen173nr-1DCA0oFUIZaGV0LWd1bHBkYWwtZGUtdm9lcnN0cmVla0gzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCuLLXhwbAAgHSAiRmNmQzM2Y0YS1iYmMzLTRjNGMtYWJjYS0zNzY1ZTAwN2Q5OGTYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,8.7,Stayed 4 nights~Leisure trip~Stayed 1 night~Group~Twin Room with Bathroom~Stayed 2 nights~Couple~Family Room~Quadruple Room with Garden View~Submitted via mobile~Family with young children,5,0,0,5
Vintage View Resort,https://www.booking.com/reviews/be/hotel/1-2-trois-le-roi.en-gb.html?label=gen173nr-1DCA0oFUIQMS0yLXRyb2lzLWxlLXJvaUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCw8XXhwbAAgHSAiQwMWFmMDY4ZS1lMWQ0LTQxNjgtYWE4Zi00YmRiNTg2Yjg2MzXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/1-2-trois-le-roi.en-gb.html?label=gen173nr-1DCA0oFUIQMS0yLXRyb2lzLWxlLXJvaUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCw8XXhwbAAgHSAiQwMWFmMDY4ZS1lMWQ0LTQxNjgtYWE4Zi00YmRiNTg2Yjg2MzXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.6,Stayed 4 nights~Leisure trip~Business trip~People with friends~Group~Three-Bedroom Townhouse~Stayed 3 nights~Stayed 2 nights~Couple~Stayed 6 nights~Submitted via mobile~Family with young children,12,0,0,12
Majestic City Retreat,https://www.booking.com/reviews/be/hotel/jean-en-karolien.en-gb.html?label=gen173nr-1DCA0oFUIQamVhbi1lbi1rYXJvbGllbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC77LXhwbAAgHSAiRlMjFkNDk1YS0zYjFiLTQyNTYtYWM3OS1iZDRjOWFlYzM2YTHYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/jean-en-karolien.en-gb.html?label=gen173nr-1DCA0oFUIQamVhbi1lbi1rYXJvbGllbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC77LXhwbAAgHSAiRlMjFkNDk1YS0zYjFiLTQyNTYtYWM3OS1iZDRjOWFlYzM2YTHYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.3,Leisure trip~Solo traveller~Business trip~Stayed 1 night~Group~Two-Bedroom Apartment~Stayed 3 nights~Stayed 2 nights~Submitted via mobile~Family with young children,3,0,0,3
Golden Bay Tower,https://www.booking.com/reviews/be/hotel/a-la-ferme-du-pere-eugene.en-gb.html?label=gen173nr-1DCA0oFUIZYS1sYS1mZXJtZS1kdS1wZXJlLWV1Z2VuZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCi67XhwbAAgHSAiRkYjgwMmZmNi00MDM3LTRmZGYtOTkxMC01Mzc4NDE3ZmM5MjfYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/a-la-ferme-du-pere-eugene.en-gb.html?label=gen173nr-1DCA0oFUIZYS1sYS1mZXJtZS1kdS1wZXJlLWV1Z2VuZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCi67XhwbAAgHSAiRkYjgwMmZmNi00MDM3LTRmZGYtOTkxMC01Mzc4NDE3ZmM5MjfYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.1,Leisure trip~Twin Room~Stayed 2 nights~Couple~Submitted via mobile~Family with young children,6,0,1,7
Elite Bay Cottage,https://www.booking.com/reviews/be/hotel/abc.en-gb.html?label=gen173nr-1DCA0oFUIDYWJjSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAL8s9eHBsACAdICJDA3MWNiMWViLTJlN2EtNDg2Yi05NzQ3LWE0Zjc4YTEwODZkNtgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/abc.en-gb.html?label=gen173nr-1DCA0oFUIDYWJjSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAL8s9eHBsACAdICJDA3MWNiMWViLTJlN2EtNDg2Yi05NzQ3LWE0Zjc4YTEwODZkNtgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,9.5,Stayed 4 nights~Leisure trip~Stayed 1 night~Business trip~Solo traveller~Group~With a pet~Deluxe Room~Deluxe Family Room~Deluxe Double or Twin Room~Deluxe Double Room~Stayed 3 nights~Stayed 2 nights~Suite with Terrace~Couple~Submitted via mobile~Family with young children,24,0,0,24
